strategy,country,index,track,CAGR,MaxDD,Calmar,Sharpe,n_trades,qualified
14-Day RSI Oscillator,South Korea,KOSPI,Buy-and-Hold,0.048562,-0.44008,0.110349,0.367513,1,True
14-Day RSI Oscillator,South Korea,KOSPI,Gross,0.025635,-0.300979,0.085173,0.266575,43,True
14-Day RSI Oscillator,South Korea,KOSPI,Net-Discount,0.009053,-0.364429,0.024843,0.136868,43,True
14-Day RSI Oscillator,South Korea,KOSPI,Net-Full-Service,-0.033266,-0.630504,-0.052761,-0.027674,43,True
14-Day RSI Oscillator,South Korea,KOSPI,Net-Tax,0.025635,-0.300979,0.085173,0.266575,43,True
14-Day RSI Oscillator,Spain,IBEX 35,Buy-and-Hold,0.03156,-0.485345,0.065027,0.252355,1,True
14-Day RSI Oscillator,Spain,IBEX 35,Gross,0.028983,-0.354318,0.0818,0.258585,42,True
14-Day RSI Oscillator,Spain,IBEX 35,Net-Discount,0.010884,-0.39447,0.027592,0.149792,42,True
14-Day RSI Oscillator,Spain,IBEX 35,Net-Full-Service,-0.009098,-0.570497,-0.015947,0.066893,42,True
14-Day RSI Oscillator,Spain,IBEX 35,Net-Tax,0.014418,-0.393464,0.036643,0.16913,42,True
14-Day RSI Oscillator,United Kingdom,FTSE 100,Buy-and-Hold,0.027097,-0.367451,0.073744,0.249547,1,True
14-Day RSI Oscillator,United Kingdom,FTSE 100,Gross,0.086519,-0.337187,0.256592,0.740083,51,True
